director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Divyang Thakkar,Ranveer Singh,Boman Irani,Ratna Pathak Shah,Comedy Hindi,jayeshbhai jordaar,Ranveer Singh Boman Irani Ratna Pathak Shah Comedy Hindi
Gowtam Tinnanuri,Shahid Kapoor,Mrunal Thakur,Pankaj Kapur,Drama Hindi Sport,jersey,Shahid Kapoor Mrunal Thakur Pankaj Kapur Drama Hindi Sport
Raj Mehta,Anil Kapoor,Kiara Advani,Varun Dhawan,Comedy Hindi,jug jugg jeeyo,Anil Kapoor Kiara Advani Varun Dhawan Comedy Hindi
Prashanth Neel,Yash,Sanjay Dutt,Raveena Tandon,Action Crime Drama Hindi,k.g.f: chapter 2,Yash Sanjay Dutt Raveena Tandon Action Crime Drama Hindi
Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Tisca Chopra,Bobby Deol,Crime Mystery Thriller Hindi,penthouse,Mastan Alibhai Burmawalla Tisca Chopra Bobby Deol Crime Mystery Thriller Hindi
Gurmmeet Singh,Katrina Kaif,Jackie Shroff,Ishaan Khattar,Comedy Horror Hindi,phone bhoot,Katrina Kaif Jackie Shroff Ishaan Khattar Comedy Horror Hindi																							
Chandra Prakash Dwivedi,Deependra Singh,Nikkita Chadha,Akshay Kumar,Action Drama History Hindi,prithviraj,Deependra Singh Nikkita Chadha Akshay Kumar Action Drama History Hindi												
Sukumar,Allu Arjun,Fahadh Faasil,Rashmika Mandanna,Action Drama Thriller Hindi,pushpa,Allu Arjun Fahadh Faasil Rashmika Mandanna Action Drama Thriller Hindi
Anvita Dutt,Swastika Mukherjee,Tripti Dimri,Babil Khan,Drama Horror Thriller Hindi,qala,Swastika Mukherjee Tripti Dimri Babil Khan Drama Horror Thriller Hindi	
Aanand L. Rai,Akshay Kumar,Sadia,Bhumi Pednekar,Drama Family Hindi,raksha bandhan,Akshay Kumar Sadia Bhumi Pednekar Drama Family Hindi				
Madhavan,Madhavan,Bhawsheel Sahni,Arnaud Humbert,Biography Drama Hindi,rocketry: the nambi effect,Madhavan Bhawsheel Sahni Arnaud Humbert Biography Drama Hindi						
Hardik Mehta,Rajkummar Rao,Varun Sharma,Janhvi Kapoor,Comedy Horror Hindi,roohi,Rajkummar Rao Varun Sharma Janhvi Kapoor Comedy Horror Hindi
S.S. Rajamouli,N.T. Rama Rao Jr.,Ram Charan,Ajay Devgn,Action Drama Hindi,rrr,N.T. Rama Rao Jr. Ram Charan Ajay Devgn Action Drama Hindi
Aditya Chopra,Amitabh Bachchan,Shah Rukh Khan,Aishwarya Rai Bachchan,Romantic Drama Hindi,mohabbatein,Amitabh Bachchan Shah Rukh Khan Aishwarya Rai Bachchan Romantic Drama Hindi
Rakesh Roshan,Hrithik Roshan,Ameesha Patel,Anupam Kher,Romantic Thriller Hindi,kaho naa pyaar hai,Hrithik Roshan Ameesha Patel Anupam Kher Romantic Thriller Hindi
Vidhu Vinod Chopra,Sanjay Dutt,Hrithik Roshan,Preity Zinta,Action Thriller Hindi,mission kashmir,Sanjay Dutt Hrithik Roshan Preity Zinta Action hriller Hindi
David Dhawan,Salman Khan,Karisma Kapoor,Johnny Lever,Romantic Comedy Hindi,dulhan hum le jayenge,Salman Khan Karisma Kapoor Johnny Lever Romantic Comedy Hindi
Raj Kanwar,Bobby Deol,Rani Mukerji,Amrish Puri,Action Drama Hindi,badal,Bobby Deol Rani Mukerji Amrish Puri Action Drama Hindi
Padam Kumar,Sunny Deol,Manisha Koirala,Rahul Dev,Action Drama Hindi,champion,Sunny Deol Manisha Koirala Rahul Dev Action Drama Hindi
Dharmesh Darshan,Akshay Kumar,Sunil Shetty,Shilpa Shetty,Romance Drama Hindi,dhadkan,Akshay Kumar Sunil Shetty Shilpa Shetty Romance Drama Hindi
Manoj Agrawal,Govinda,Rani Mukerji,Johnny Lever,Comedy Romance Hindi,hadh kar di aapne,Govinda Rani Mukerji Johnny Lever Comedy Romance Hindi
Raj Kanwar,	Salman Khan, Preity Zinta, Rani Mukerji,Comedy Drama Romance Hindi,har dil jo pyar karega,Salman Khan Preity Zinta Rani Mukerji Comedy Drama Romance Hindi
Priyadarshan,Akshay Kumar, Suniel Shetty,Paresh Rawal,Comedy Hindi,hera pheri,Akshay Kumar Suniel Shetty Paresh Rawal Comedy Hindi
Shakeel Noorani,Govinda, Twinkle Khanna,Kadar Khan,Drama Hindi,joru ka ghulam,Govinda Twinkle Khanna Kadar Khan Drama Hindi
Mansoor Khan,Shah Rukh Khan, Chandrachur Singh, Aishwarya Rai,Action Romance Hindi,josh,Shah Rukh Khan Chandrachur Singh Aishwarya Rai Action Romance Hindi
Neeraj Vora,Akshay Kumar, Mahima Chaudhry, Antara Mali,Action Romance Hindi,khiladi 420,Akshay Kumar Mahima Chaudhry Antara Mali Action Romance Hindi
Dharmesh Darshan,Aamir Khan, Twinkle Khanna, Faisal Khan,Drama Hindi,mela,Aamir Khan Twinkle Khanna Faisal Khan Drama Hindi
Aziz Mirza,Shah Rukh Khan, Juhi Chawla, Paresh Rawal,Comedy Drama Romance Musical Hindi,phir bhi dil hai hindustani,Shah Rukh Khan Juhi Chawla Paresh Rawal Comedy Drama Romance Musical Hindi
J. P. Dutta,Abhishek Bachchan, Kareena Kapoor, Sunil Shetty,Drama Romance Hindi,refugee,Abhishek Bachchan Kareena Kapoor Sunil Shetty Drama Romance Hindi
Karan Johar,Amitabh Bachchan,Jaya Bachchan,Shah Rukh Khan,Family Drama Hindi,kabhi khushi kabhie gham,Amitabh Bachchan Jaya Bachchan Shah Rukh Khan Family Drama Hindi
Anil Sharma,Sunny Deol,Ameesha Patel,Amrish Puri,Romantic Period Action Drama Hindi,gadar: ek prem katha,Sunny Deol Ameesha Patel Amrish Puri Romantic Period Action Drama Hindi
Ashutosh Gowariker,Aamir Khan,Gracy Singh,Rachel Shelley,Epic Sports Drama Hindi,lagaan,Aamir Khan Gracy Singh Rachel Shelley Epic Sports Drama Hindi
N. Maharajan,Sunny Deol,Shilpa Shetty,Danny Denzongpa,Action Thriller Hindi,indian,Sunny Deol Shilpa Shetty Danny Denzongpa Action Thriller Hindi
Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Comedy Drama Hindi,dil chahta hai,Aamir Khan Saif Ali Khan Akshaye Khanna Comedy Drama Hindi
Abbas–Mustan,Salman Khan,Rani Mukerji,Preity Zinta,Romantic Drama Hindi,chori chori chupke chupke,Salman Khan Rani Mukerji Preity Zinta Romantic Drama Hindi
Suneel Darshan,Amitabh Bachchan,Akshay Kumar,Rakhee Gulzar,Drama Hindi,ek rishtaa:the bond of love,Amitabh Bachchan Akshay Kumar Rakhee Gulzar Drama Hindi
Subhash Ghai,Jackie Shroff,Hrithik Roshan,Kareena Kapoor,Drama Hindi,yaadein,Jackie Shroff Hrithik Roshan Kareena Kapoor Drama Hindi
David Dhawan,Sanjay Dutt,Govinda,Twinkle Khanna,Comedy Hindi,jodi no.1,Sanjay Dutt Govinda Twinkle Khanna Comedy Hindi
Abbas–Mustan,Akshay Kumar,Bobby Deol,Kareena Kapoor Khan,Mystery Thriller Crime Hindi,ajnabee,Akshay Kumar Bobby Deol Kareena Kapoor Khan Mystery Thriller Crime Hindi
K. Raghavendra Rao,Govinda,Juhi Chawla,Johnny Lever,Family Drama Hindi,aamdani atthanni kharcha rupaiya,Govinda Juhi Chawla Johnny Lever Family Drama Hindi
Indra Kumar,Bobby Deol, Karisma Kapoor,Rahul Dev,Action Comedy Hindi,aashiq,Bobby Deol Karisma Kapoor Rahul Dev Action Comedy Hindi
Rakeysh Omprakash Mehra,Amitabh Bachchan, Raveena Tandon, Manoj Bajpai,Thriller Horror Hindi,aks,Amitabh Bachchan  Raveena Tandon Manoj Bajpai Thriller Horror Hindi
Deepak Sareen,Govinda, Aishwarya Rai, Namrata Shirodkar,Romance Hindi,albela,Govinda  Aishwarya Rai Namrata Shirodkar Romance Hindi
Santosh Sivan,Shah Rukh Khan, Ajith Kumar, Kareena Kapoor,History Hindi,asoka,Shah Rukh Khan Ajith Kumar  Kareena Kapoor History Hindi
Goldie Behl,Abhishek Bachchan, Rani Mukerji, Sushmita Sen,Drama Romance Social Hindi,bas itna sa khwaab hai,Abhishek Bachchan Rani Mukerji  Sushmita Sen Drama Romance Social
Ashu Trikha,Arjun Rampal, Diya Mirza, Vikas Sethi,Drama Romance Hindi,deewaanapan,Arjun Rampal Diya Mirza Vikas Sethi Drama Romance Hindi
C. L. Rawal,Govinda, Tabu, Pooja Batra,Romance Hindi,dil ne phir yaad kiya,Govinda Tabu  Pooja Batra Romance Hindi
Raj Kanwar,	Sunny Deol, Preity Zinta, Om Puri,Action Romance Hindi,farz,Sunny Deol Preity Zinta Om Puri Action Romance Hindi
Shashilal K. Nair,Jackie Shroff, Manisha Koirala, Anupama Verma,Romance Hindi,grahan,Jackie Shroff Manisha Koirala Anupama Verma Romance Hindi
David Dhawan,Govinda, Sushmita Sen, Anupam Kher,Comedy Romance Hindi,kyo kii main jhuth nahin bolta,Govinda Sushmita Sen  Anupam Kher Comedy Romance Hindi
Satish Kaushik,Tusshar Kapoor, Kareena Kapoor, Rinke Khanna,Comedy Hindi,mujhe kucch kehna hai,Tusshar Kapoor  Kareena Kapoor Rinke Khanna Comedy Hindi
S. Shankar,	Anil Kapoor, Rani Mukerji, Paresh Rawal,Political Drama Hindi,nayak,Anil Kapoor Rani Mukerji  Paresh Rawal Political Drama Hindi
Naeem Sha,Sunil Shetty, Raveena Tandon,Kadar khan,Action  Drama Hindi,officer,Sunil Shetty  Raveena Tandon Kadar khan Action  Drama Hindi
Shashilal K. Nair,Shah Rukh Khan, Juhi Chawla, Jackie Shroff,Action Romance Hindi,one 2 ka 4,Shah Rukh Khan  Juhi Chawla  Jackie Shroff Action  Romance Hindi
Rajiv Rai,Suniel Shetty, Arjun Rampal, Aftab Shivdasani,Romance Hindi,pyaar ishq aur mohabbat,Suniel Shetty Arjun Rampal Aftab Shivdasani Romance Hindi
Gautham Vasudev Menon,Saif Ali Khan, Dia Mirza, R. Madhavan,Romance Hindi,rehnaa hai terre dil mein,Saif Ali Khan Dia Mirza R. Madhavan Romance Hindi
N. Chandra,Sahil Khan, Sharman Joshi, Riya Sen,	Romance Hindi,style,Sahil Khan Sharman Joshi Riya Sen Romance Hindi
Mahesh Manjrekar,	Ajay Devgn, Sonali Bendre, Namrata Shirodkar,Drama Hindi,tera mera saath rahen,Ajay Devgn Sonali Bendre Namrata Shirodkar Drama Hindi
Deepak S. Shivdasani,Ajay Devgan, Madhuri Dixit, Preity Zinta,Drama Hindi,yeh raaste hain pyaar ke,Ajay Devgan  Madhuri Dixit  Preity Zinta Drama Hindi
Priyadarshan,Suniel Shetty, Mahima Chaudhry,Paresh Rawal,Drama Hindi,yeh teraa ghar yeh meraa ghar,Suniel Shetty Mahima Chaudhry Paresh Rawal Drama Hindi
Ramesh Sippy,Amitabh Bachchan,Dharam Singh Deol,Amjad Khan,Action Adventure Hindi,sholay,Amitabh Bachchan Dharam Singh Deol Amjad Khan Action Adventure Hindi
Raj Kapoor,Rajiv Kapoor,Mandakini,Divya Rana,Romantic Drama Hindi,ram teri ganga maili,Rajiv Kapoor Mandakini Divya Rana Romantic Drama Hindi
Danny Denzongpa,Rajesh Khanna,Kim,Danny Denzongpa,Horror Hindi,phir wahi raat,Rajesh Khanna Kim Danny Denzongpa Horror Hindi
Sanjay Leela Bhansali,Shah Rukh Khan,Aishwarya Rai,Madhuri Dixit,Romantic Drama Hindi,devdas,Shah Rukh Khan Aishwarya Rai Madhuri Dixit Romantic Drama Hindi
Sanjay Gupta, Amitabh Bachchan, Sanjay Dutt, Kumar Gaurav,Action Thriller Hindi,kaante,Amitabh Bachchan Sanjay Dutt Kumar Gaurav Action Thriller Hindi
Vikram Bhatt,Bipasha Basu, Dino Morea, Malini Sharma,Supernatural Horror Hindi,raaz,Bipasha Basu Dino Morea Malini Sharma Supernatural Horror Hindi
K. S. Adhiyaman, Shah Rukh Khan, Madhuri Dixit,Salman Khan,Romantic Drama Hindi,hum tumhare hain sanam,Shah Rukh Khan Madhuri Dixit Salman Khan Romantic Drama Hindi
Vipul Amrutlal Shah, Amitabh Bachchan, Akshay Kumar, Arjun Rampal,Heist Thriller Hindi,aankhen,Amitabh Bachchan Akshay Kumar Arjun Rampal Heist Thriller Hindi
Kunal Kohli, Rani Mukherji, Hrithik Roshan,Kareena Kapoor,Coming-Of-Age Romance Comedy Hindi,mujhse dosti karoge, Rani Mukherji Hrithik Roshan Kareena Kapoor Coming-Of-Age Romance Comedy Hindi
Abbas Mustan,Vinod Khanna, Abhishek Bachchan, Bipasha Basu,Action Thriller Hindi,players,Vinod Khanna  Abhishek Bachchan Bipasha Basu Action Thriller Hindi
Hriday Shetty,Naseeruddin Shah, Atul Kulkarni, Kay Kay Menon,Comedy Crime Hindi,chaalis chauraasi,Naseeruddin Shah  Atul Kulkarni  Kay Kay Menon Comedy Crime Hindi
Puja Jatinder Bedi,Shiney Ahuja, Sayali Bhagat, Deepraj Rana,Adult Horror Hindi,ghost,Shiney Ahuja Sayali Bhagat Deepraj Rana Adult Horror Hindi
Karan Malhotra,Hrithik Roshan, Sanjay Dutt, Rishi Kapoor,Action Drama Hindi,agneepath,Hrithik Roshan Sanjay Dutt Rishi Kapoor Action Drama Hindi
Rumi Jaffrey,Akshaye Khanna, Shriya Saran, Mugdha Godse,Drama Hindi,gali gali chor hai,Akshaye Khanna Shriya Saran Mugdha Godse Drama Hindi
Shakun Batra,Kareena Kapoor, Imran Khan, Ratna Pathak Shah,Romance Comedy Hindi,ek main aur ekk Tu,Kareena Kapoor Imran Khan Ratna Pathak Shah Romance Comedy Hindi
Gautham Vasudev Menon,Prateik Babbar, Amy Jackson, Manu Rishi,Romance Hindi,ekk deewana tha,Prateik Babbar Amy Jackson  Manu Rishi Romance Hindi
Dilip Shankar,Jackie Shroff, Archana Joglekar, Anjali Malhotra,Drama Hindi,married 2 america,Jackie Shroff Archana Joglekar Anjali Malhotra Drama Hindi
Ashwini Chaudhary,R. Madhavan, Bipasha Basu, Milind Soman,Romance Hindi,jodi breakers,R. Madhavan Bipasha Basu Milind Soman Romance Hindi
Mandeep Kumar,Riteish Deshmukh, Genelia D'Souza, Om Puri,Romance Comedy Hindi,tere naal love ho gaya,Riteish Deshmukh Genelia D'Souza Om Puri Romance Comedy Hindi
Anu Menon,Ali Zafar, Aditi Rao Hydari,Romance Hindi,london paris new york,Ali Zafar Aditi Rao Hydari Romance Hindi
Tigmanshu Dhulia,Irrfan Khan, Mahie Gill, Vipin Sharma,Crime Hindi,paan singh tomar,Irrfan Khan Mahie Gill Vipin Sharma Crime Hindi
Aditya Dutt,Shreyas Talpade, Rajeev Khandelwal, Tripta Parashar,Romance Hindi,will you marry me?,Shreyas Talpade Rajeev Khandelwal Tripta Parashar Romance Hindi
Sujoy Ghosh,Vidya Balan, Parambrata Chatterjee, Nawazuddin Siddiqui,Drama Thriller Hindi,kahaani,Vidya Balan Parambrata Chatterjee Nawazuddin Siddiqui Drama Thriller Hindi
Samir Karnik,Kulraj Randhawa, Tusshar Kapoor, Anupam Kher,Comedy Hindi,chaar din ki chandni,Kulraj Randhawa Tusshar Kapoor Anupam Kher Comedy Hindi	
Ashu Trikha,Mithun Chakraborthy, Ranjeeta Kaur, Ashish Sharma,Romance Hindi,zindagi tere naam,Mithun Chakraborthy Ranjeeta Kaur Ashish Sharma Romance Hindi
Sriram Raghavan,Saif Ali Khan, Kareena Kapoor, Ram Kapoor,Suspense Thriller Hindi,agent vinod,Saif Ali Khan Kareena Kapoor Ram Kapoor Suspense Thriller Hindi
Vishal Mahadkar,Kunal Khemu, Amrita Puri, Manish Chaudhari,Thriller Hindi,blood money,Kunal Khemu Amrita Puri Manish Chaudhari Thriller Hindi
Puri Jagannadh,Ramya Krishnan,Vijay Deverakonda,Ananya Panday,Drama Hindi,liger,Ramya Krishnan Vijay Deverakonda Ananya Panday Drama Hindi
Laxman Utekar,Evelyn Edwards,Kriti Sanon,Sai Tamhankar,Drama Hindi,mimi,Evelyn Edwards Kriti Sanon Sai Tamhankar Drama Hindi
Saumitra Singh,Mahesh Manjrekar,Jagjeet Sandhu,Anangsha Biswas,Thriller	Hindi,taxi no. 24,Mahesh Manjrekar Jagjeet Sandhu Anangsha Biswas Thriller Hindi
Indra Kumar,Rakul Preet Singh,Ajay Devgn,Sidharth Malhotra,Comedy Hindi,thank god,Rakul Preet Singh Ajay Devgn Sidharth Malhotra Comedy Hindi						
Kookie Gulati,Abhishek Bachchan,Nikita Dutta,Ileana D'Cruz,Biography Crime Drama,the big bull,Abhishek Bachchan Nikita Dutta Ileana D'Cruz Biography Crime Drama
Ahmed Khan,Tiger Shroff,Riteish Deshmukh,Shraddha Kapoor,Action Comedy Musical,baaghi 3,Tiger Shroff Riteish Deshmukh Shraddha Kapoor Action Comedy Musical
Rajkumar Santoshi,Namashi Chakraborthy,Amrin Qureshi,Madhu Anand Chandhock,Comedy Romance,bad boy,Namashi Chakraborthy Amrin Qureshi Madhu Anand Chandhock Comedy Romance
Krishna Bhatt,Mohit Sehgal,Priyal Gor,Barkha Bisht,Romance,badnaam,Mohit Sehgal Priyal Gor Barkha Bisht Romance
Anvita Dutt,Tripti Dimri,Avinash Tiwary,Rahul Bose,Drama Horror Mystery,bulbbul,Tripti Dimri Avinash Tiwary Rahul Bose Drama Horror Mystery
Atul Sabharwal,Bobby Deol,Anup Soni,Joy Sengupta,Action Crime Drama,class of '83,Bobby Deol Anup Soni Joy Sengupta Action Crime Drama
David Dhawan,Varun Dhawan,Sara Ali Khan,Paresh Rawal,Action Comedy Romance,coolie no. 1,Varun Dhawan Sara Ali Khan Paresh Rawal Action Comedy Romance
Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid,Comedy Drama Romance,dil bechara,Sushant Singh Rajput Sanjana Sanghi Sahil Vaid Comedy Drama Romance
Puneet Khanna,Yami Gautam,Vikrant Massey,Ayesha Raza,Comedy Drama Romance,ginny weds sunny,Yami Gautam Vikrant Massey Ayesha Raza Comedy Drama Romance
Abir Sengupta,Kiara Advani,Aditya Seal,Mushtaq Khan,Comedy Drama,indoo ki jawani,Kiara Advani Aditya Seal Mushtaq Khan Comedy Drama
Navjot Gulati,Poonam Dhillon,Supriya Pathak,Sunny Singh Nijjar,Comedy Drama Romance,jai mummy di,Poonam Dhillon Supriya Pathak Sunny Singh Nijjar Comedy Drama Romance
Nitin Kakkar,Saif Ali Khan,Alaya F,Tabu,Comedy Drama,jawaani jaaneman,Saif Ali Khan Alaya F Tabu Comedy Drama
R.k. Sharma,Ranbeeir Kalsi,Sharvani Sahay,Elena Tuteja,Comedy Drama,kehta hai yeh dil,Ranbeeir Kalsi Sharvani Sahay Elena Tuteja Comedy Drama
Lawrence Raghavendra,Balakrishnan Thevar,Akshay Kumar,Kiara Advani,Action Comedy Horror,laxmii,Balakrishnan Thevar Akshay Kumar Kiara Advani Action Comedy Horror
Rajesh Krishnan,Kunal Khemu,Rasika Dugal,Vijay Raaz,Comedy Crime,lootcase,Kunal Khemu Rasika Dugal Vijay Raaz Comedy Crime
Imtiaz Ali,Kartik Aaryan,Sara Ali Khan,Randeep Hooda,Drama Romance,love aaj kal,Kartik Aaryan Sara Ali Khan Randeep Hooda Drama Romance
Rupesh Paul,Tanima Bhattacharya,Karan Maan,Ashutosh Singh,Crime,love in a taxi,Tanima Bhattacharya Karan Maan Ashutosh Singh Crime
Anurag Basu,PankajTripathi,Abhishek Bachchan,Rajkummar Rao,Action Comedy Crime,ludo,PankajTripathi Abhishek Bachchan Rajkummar Rao Action Comedy Crime
Ashwini Malik,Prabhat Raghunandan,Swati Sen,Gaurav Sharma,Drama,maali,Prabhat Raghunandan Swati Sen Gaurav Sharma Drama
Jagdish A. Sharma,Hrishitaa Bhatt,Prem Chopra,Kader Khan,Action,main hoon khalnayak,Hrishitaa Bhatt Prem Chopra Kader Khan Action
Prasadh Inamdar,Sudhir Dalvi,Sharib Hashmi,Satish Kaushik,Drama Thriller,mrs & mr khurana,Sudhir Dalvi Sharib Hashmi Satish Kaushik Drama Thriller
Dinkar Kapoor,Krishna Abhishek,Karthik Jayaram,Arjumman Mughal,Comedy Thriller,o pushpa i hate tears,Krishna Abhishek Karthik Jayaram Arjumman Mughal Comedy Thriller
Ranjeet Gupta,Seema Azmi,Shweta Bhardwaj,Zakir Hussain,Comedy Drama,omprakash zindabad,Seema Azmi Shweta Bhardwaj Zakir Hussain Comedy Drama
Supriya Khan,Ismail Umarr Khan,Shweta Khanduri,Mousam Sharma,Comedy Romance,one stop for love,Ismail Umarr Khan Shweta Khanduri Mousam Sharma Comedy Romance
Sanjay Gadhvi,Amit Sadh,Rucha Inamdar,Rahul Dev,Action Drama Thriller,operation parindey,Amit Sadh Rucha Inamdar Rahul Dev Action Drama Thriller
Ramesh Sippy,Hema Malini,Rajkummar Rao,Rakul Preet Singh,Comedy Romance,shimla mirchi,Hema Malini Rajkummar Rao Rakul Preet Singh Comedy Romance
Anubhav Sinha,Taapsee Pannu,Pavail Gulati,Kumud Mishra,Drama,thappad,Taapsee Pannu Pavail Gulati Kumud Mishra Drama
Ajay Lohan,Urvashi Rautela,Gautam Gulati,Rumana Molla,Comedy Drama,virgin bhanupriya,Urvashi Rautela Gautam Gulati Rumana Molla Comedy Drama
Pushkar Mahabal,Kashmira Irani,Swarda Thigle,Shashi Bhushan,Crime Drama Horror,welcome home,Kashmira Irani Swarda Thigle Shashi Bhushan Crime Drama Horror
Mani Shankar,Milind Soman, Dipannita Sharma, Gulshan Grover,Action Hindi,16 december,Milind Soman Dipannita Sharma Gulshan Grover Action Hindi
Guddu Dhanoa,Sunny Deol, Bobby Deol, Divya Dutta,Historical Drama Hindi,shaheed,Sunny Deol Bobby Deol Divya Dutta Historical Drama Hindi
Vikram Bhatt,Hrithik Roshan, Amisha Patel, Ali Asgar,Romance Drama Hindi,aap mujhe achche lagne lage,Hrithik Roshan Amisha Patel Ali Asgar Romance Drama Hindi
Raj Kanwar, Amrita Rao, Arya Babbar, Ashish Vidyarthi,Romance Drama Hindi,ab ke baras, Amrita Rao Arya Babbar Ashish Vidyarthi Romance Drama Hindi
Arjun Sajnani,Amitabh Bachchan, Akkineni Nagarjuna, Jackie Shroff,Historical Hindi,agni varsha,Amitabh Bachchan Akkineni Nagarjuna Jackie Shroff Historical Hindi
Harmesh Malhotra,Govinda, Raveena Tandon, Kader Khan,	Comedy Hindi,akhiyon se goli maare,Govinda Raveena Tandon Kader Khan Comedy Hindi
